policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v2,bimodal_asymmetric,bimodal,200,insufficient,200,63,0.315,0.2546232099022851,0.3823495608573036,0.07936507936507936,0.03437584717681855,0.17270309850904084,0.9206349206349206,0.8272969014909591,0.9656241528231814
v3_default,bimodal_asymmetric,bimodal,200,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_default,bimodal_asymmetric,bimodal,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,200,caution,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_default,bimodal_asymmetric,bimodal,200,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,200,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,200,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,200,caution,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,200,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,500,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v2,bimodal_asymmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,500,caution,200,144,0.72,0.6540769541334929,0.7776311022605097,0.0763888888888889,0.04318732966175298,0.13160436291776428,0.9236111111111112,0.8683956370822358,0.956812670338247
